City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,vila franca do campo,37.7167,-25.4333,21.6,99,100,8.79,PT,1700157982
118,olyokminsk,60.3736,120.4264,-9.06,80,100,4.98,RU,1700157982
119,carnarvon,-24.8667,113.6333,21.79,81,0,4.83,AU,1700157982
120,heroica matamoros,25.8833,-97.5,24.94,51,0,4.12,MX,1700157914
121,la passe,45.5549,-0.8967,13.32,80,78,8.13,FR,1700157982
122,hawaiian paradise park,19.5933,-154.9731,22.24,84,100,2.06,US,1700157982
123,enewetak,11.3474,162.3373,28.35,81,95,9.26,MH,1700157983
124,doume,4.2333,13.45,21.91,96,49,1.23,CM,1700157983
125,port moresby,-9.4431,147.1797,23.06,87,57,2.21,PG,1700157983
126,anderson,34.5334,-82.6499,21.81,56,100,4.63,US,1700157869
127,kupang,-10.1667,123.5833,27.32,94,100,2.57,ID,1700157983
128,magadan,59.5667,150.8,-15.62,73,3,2.83,RU,1700157977
129,neyriz,29.1988,54.3278,12.47,74,53,2.88,IR,1700157984
130,edinburgh of the seven seas,-37.0676,-12.3116,13.99,79,5,8.19,SH,1700157984
131,kodiak,57.79,-152.4072,3.73,60,20,4.63,US,1700157984
132,mana,5.6592,-53.7767,28.4,77,25,3.31,GF,1700157984
133,essaouira,31.5125,-9.77,26.72,44,40,4.12,MA,1700157712
134,constitucion,-35.3333,-72.4167,12.8,84,40,7.84,CL,1700157806
135,boende,-0.2167,20.8667,22.47,99,96,0.67,CD,1700157985
136,inhambane,-23.865,35.3833,23.99,60,20,1.54,MZ,1700157985
137,itacoatiara,-3.1431,-58.4442,41.21,21,0,1.5,BR,1700157985
138,holualoa,19.6228,-155.9522,23.21,74,40,2.57,US,1700157986
139,westport,41.1415,-73.3579,18.64,51,1,0.89,US,1700157763
140,piacabucu,-10.4056,-36.4344,29.63,58,40,6.77,BR,1700157986
141,mount pearl,47.5166,-52.7813,1.36,76,75,3.6,CA,1700157715
142,zheleznogorsk-ilimskiy,56.5768,104.1217,-2.57,84,100,4.92,RU,1700157987
143,lesnoy,57.6198,63.0784,-0.41,85,31,3.59,RU,1700157987
144,geraldton,-28.7667,114.6,19.23,48,0,4.12,AU,1700157987
145,northam,51.0333,-4.2167,8.67,93,56,4.63,GB,1700157987
146,san antonio de pale,-1.4014,5.6325,27.05,82,20,5.95,GQ,1700157781
147,hustopece,48.9408,16.7376,9.94,85,100,2.83,CZ,1700157988
148,tiksi,71.6872,128.8694,-14.43,95,100,2.85,RU,1700157988
149,rio brilhante,-21.8019,-54.5464,42.22,17,71,6.24,BR,1700157988
150,jamestown,42.097,-79.2353,17.48,41,0,5.14,US,1700157947
151,payyannur,12.1,75.2,25.58,84,79,1.63,IN,1700157988
152,prado,-17.3411,-39.2208,27.76,67,57,7.1,BR,1700157988
153,codrington,-38.2667,141.9667,9.64,79,57,3.42,AU,1700157988
154,hobyo,5.3505,48.5268,28.18,78,62,4.69,SO,1700157982
155,turpan,42.9333,89.1667,4.31,45,0,0.56,CN,1700157989
156,sligo,54.2697,-8.4694,7.17,87,100,7.2,IE,1700157989
157,south hedland,-20.4089,118.5983,23.96,88,0,5.14,AU,1700157989
158,tan-tan,28.438,-11.1032,21.87,65,0,2.81,MA,1700157989
159,luderitz,-26.6481,15.1594,19.21,75,26,2.51,NA,1700157989
160,fabens,31.5023,-106.1586,20.32,49,100,1.43,US,1700157989
161,hamilton,39.1834,-84.5333,20.7,49,0,2.24,US,1700157743
162,puerto natales,-51.7236,-72.4875,9.25,76,100,2.57,CL,1700157916
163,college,64.8569,-147.8028,-8.08,85,75,0.0,US,1700157990
164,topeka,39.0483,-95.678,17.18,63,0,7.72,US,1700157832
165,mananjary,-21.2167,48.3333,21.73,91,73,1.88,MG,1700157990
166,praia da vitoria,38.7333,-27.0667,21.14,88,75,12.56,PT,1700157991
167,tofol,5.3248,163.0078,28.2,76,95,2.55,FM,1700157991
168,bontang,0.1333,117.5,25.61,87,88,1.55,ID,1700157991
169,nizhnesortymskiy,62.4397,71.7603,-8.82,95,99,2.34,RU,1700157991
170,revda,56.801,59.9303,-0.11,93,85,3.07,RU,1700157991
171,reggane,26.7158,0.1714,26.5,20,2,2.81,DZ,1700157992
172,urucara,-2.5364,-57.76,42.05,17,1,3.64,BR,1700157883
173,fisterra,42.9049,-9.2629,15.57,78,78,2.62,ES,1700157992
174,udachny,66.4167,112.4,-9.77,95,100,3.09,RU,1700157695
175,usinsk,65.9939,57.5281,-17.18,92,80,3.58,RU,1700157993
176,new plymouth,-39.0667,174.0833,15.45,93,100,7.81,NZ,1700157993
177,lospalos,-8.5186,127.0025,22.6,85,13,0.53,TL,1700157693
178,fuglafjordur,62.244,-6.814,3.26,65,38,5.91,FO,1700157993
179,antofagasta,-23.65,-70.4,18.6,68,99,4.27,CL,1700157993
180,tuy hoa,13.0833,109.3,24.81,93,92,7.76,VN,1700157994
181,hithadhoo,-0.6,73.0833,28.11,77,91,6.08,MV,1700157994
182,nuuk,64.1835,-51.7216,-1.66,80,75,1.03,GL,1700157994
183,egilsstadir,65.2653,-14.3948,-2.05,100,75,1.03,IS,1700157793
184,vilyuchinsk,52.9306,158.4028,-7.26,84,7,4.39,RU,1700157995
185,chonchi,-42.6128,-73.8092,11.56,98,100,4.74,CL,1700157995
186,mitu,1.1983,-70.1733,35.67,38,48,0.32,CO,1700157995
187,kone,-21.0595,164.8658,19.68,91,5,1.8,NC,1700157996
188,airuk,7.2772,168.8203,28.29,81,100,9.13,MH,1700157996
189,ushtobe,45.2514,77.9838,9.87,31,100,1.48,KZ,1700157997
190,horta,38.5333,-28.6333,20.8,94,75,11.18,PT,1700157982
191,edgewater,28.9889,-80.9023,21.68,96,100,4.63,US,1700157997
192,mersa matruh,31.3525,27.2453,23.11,68,40,5.66,EG,1700157997
193,iskitim,54.6366,83.3045,4.9,70,100,6.16,RU,1700157998
194,den helder,52.9599,4.7593,6.66,92,100,1.03,NL,1700157998
195,texarkana,33.4251,-94.0477,16.12,82,100,2.57,US,1700157998
196,saint-paul,-21.0096,55.2707,25.0,100,90,0.86,RE,1700157998
197,mar del plata,-38.0023,-57.5575,22.13,64,20,7.2,AR,1700157533
198,crane,31.3974,-102.3501,20.15,59,100,6.72,US,1700157998
199,afaahiti,-17.75,-149.2833,25.93,80,100,10.51,PF,1700157999
200,klyuchi,52.2667,79.1667,6.66,61,100,3.49,RU,1700157769
201,east london,-33.0153,27.9116,17.52,94,75,5.66,ZA,1700157999
202,namibe,-15.1961,12.1522,23.64,77,79,4.24,AO,1700157999
203,hami,42.8,93.45,3.02,31,1,1.55,CN,1700157999
204,parry sound,45.3501,-80.033,10.03,43,94,4.29,CA,1700157999
205,tshikapa,-6.4167,20.8,21.73,94,100,0.18,CD,1700158000
206,qusmuryn,52.4503,64.6311,3.43,82,100,3.4,KZ,1700158000
207,zeya,53.75,127.2667,-7.51,71,98,1.81,RU,1700158000
208,petropavlovsk-kamchatsky,53.0452,158.6483,-8.08,75,0,6.26,RU,1700157764
209,west island,-12.1568,96.8225,25.99,73,40,4.63,CC,1700158000
210,kapuskasing,49.4169,-82.4331,6.05,49,100,8.75,CA,1700158000
211,ola,59.5833,151.2833,-16.57,84,26,2.69,RU,1700158000
212,temirgoyevskaya,45.1141,40.2803,8.96,94,100,0.95,RU,1700158001
213,palpala,-24.2565,-65.2116,31.57,38,75,5.14,AR,1700158001
214,likiep,9.8251,169.3107,28.06,82,62,8.99,MH,1700158001
215,kavaratti,10.5669,72.642,28.66,74,90,3.44,IN,1700158001
216,rio grande,-32.035,-52.0986,31.06,66,22,4.92,BR,1700158001
217,loiza,18.4313,-65.8802,32.38,64,40,8.23,PR,1700158001
218,tazovsky,67.4667,78.7,-18.94,99,11,3.83,RU,1700157807
219,kismayo,-0.3582,42.5454,27.66,80,47,4.34,SO,1700158001
220,yamazakicho-nakabirose,35.0,134.55,11.25,99,100,1.37,JP,1700158002
221,lionel town,17.8101,-77.2406,24.78,94,100,7.9,JM,1700158002
222,ust'-kulom,61.6864,53.6902,-6.49,93,100,3.11,RU,1700157768
223,birao,10.2849,22.7882,29.48,27,91,2.35,CF,1700158002
224,kununurra,-15.7667,128.7333,26.99,83,6,1.54,AU,1700158002
225,cuorgne,45.3895,7.6499,10.65,71,27,2.04,IT,1700158002
226,saudarkrokur,65.7461,-19.6394,0.53,79,32,3.35,IS,1700158002
227,treasure island,27.7692,-82.769,23.43,83,100,4.63,US,1700158002
228,timbuktu,16.7735,-3.0074,30.93,13,71,4.55,ML,1700158003
229,chern',53.4523,36.9145,1.96,96,100,3.05,RU,1700158003
